                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.22013,                0.15485,                0.82604,                0.99486,                0.99634,                0.99389,                0.98195,                0.17565,                0.10926,                0.78151,               0.004951,               0.004951,               0.004951
                     53,                0.21802,                0.15238,                0.82547,                0.99228,                0.99789,                0.99394,                0.98312,                0.17386,                 0.1077,                0.78182,               0.004852,               0.004852,               0.004852
                     54,                0.21779,                0.15061,                0.82524,                 0.9947,                0.99662,                0.99372,                0.98205,                0.17332,                0.10742,                 0.7814,               0.004753,               0.004753,               0.004753
                     55,                0.21899,                0.15109,                 0.8237,                0.99407,                  0.998,                 0.9936,                0.98129,                0.17324,                0.10288,                0.78169,               0.004654,               0.004654,               0.004654
                     56,                0.21743,                0.15053,                0.82599,                0.99423,                  0.998,                0.99389,                0.98141,                0.17268,                0.10367,                0.78123,               0.004555,               0.004555,               0.004555
                     57,                 0.2162,                 0.1502,                0.82612,                0.99451,                0.99625,                0.99398,                 0.9824,                0.17132,                0.10271,                0.78107,               0.004456,               0.004456,               0.004456
                     58,                0.21551,                0.15021,                0.82651,                0.99317,                0.99717,                0.99378,                0.98238,                0.17303,                0.10476,                 0.7807,               0.004357,               0.004357,               0.004357
                     59,                0.21465,                0.14801,                0.82287,                0.99189,                0.99726,                0.99334,                0.98196,                 0.1719,                0.10392,                0.77453,               0.004258,               0.004258,               0.004258
                     60,                0.21293,                0.14428,                0.82429,                0.99614,                 0.9967,                0.99406,                0.98192,                 0.1717,                0.10147,                0.77943,               0.004159,               0.004159,               0.004159
                     61,                0.21145,                0.14478,                0.82302,                0.99423,                0.99757,                 0.9939,                0.98226,                0.17038,                0.10065,                0.78082,                0.00406,                0.00406,                0.00406
                     62,                0.20932,                0.14093,                0.82135,                0.99492,                0.99634,                0.99396,                 0.9827,                0.16932,                0.09922,                 0.7806,               0.003961,               0.003961,               0.003961
                     63,                0.21023,                0.14205,                0.82391,                0.99473,                0.99771,                0.99401,                0.98306,                0.17027,                0.09801,                 0.7807,               0.003862,               0.003862,               0.003862
                     64,                0.20898,                 0.1405,                 0.8213,                0.99526,                0.99816,                0.99399,                0.98191,                0.16991,                0.09779,                0.78041,               0.003763,               0.003763,               0.003763
                     65,                0.20997,                0.13972,                0.82324,                0.99438,                0.99771,                0.99389,                0.98208,                0.17118,                0.09803,                0.78071,               0.003664,               0.003664,               0.003664
                     66,                0.20674,                0.13911,                0.82214,                0.99398,                0.99811,                0.99416,                0.98272,                0.16913,                0.09601,                0.78055,               0.003565,               0.003565,               0.003565
                     67,                 0.2053,                0.13618,                 0.8239,                0.99544,                0.99768,                0.99373,                 0.9827,                0.16832,                0.09573,                0.78038,               0.003466,               0.003466,               0.003466
                     68,                 0.2075,                0.13758,                0.82242,                0.99454,                0.99726,                0.99348,                0.98227,                0.16826,                0.09821,                0.78008,               0.003367,               0.003367,               0.003367
                     69,                0.20357,                0.13499,                0.82157,                0.99479,                  0.998,                 0.9932,                0.98188,                0.16832,                0.09802,                0.78006,               0.003268,               0.003268,               0.003268
                     70,                0.20245,                0.13494,                0.82205,                0.99533,                0.99817,                0.99369,                0.98263,                0.16771,                0.09609,                0.77966,               0.003169,               0.003169,               0.003169
                     71,                0.20192,                0.13471,                0.81988,                0.99475,                0.99771,                0.99393,                  0.983,                0.16723,                0.09572,                0.77959,                0.00307,                0.00307,                0.00307
                     72,                  0.202,                0.13307,                0.82199,                0.99481,                0.99634,                0.99408,                0.98375,                0.16579,                0.09592,                0.77952,               0.002971,               0.002971,               0.002971
                     73,                0.19999,                0.13256,                 0.8214,                0.99515,                0.99619,                0.99434,                0.98392,                0.16548,                 0.0966,                0.77938,               0.002872,               0.002872,               0.002872
                     74,                0.20176,                0.13343,                0.82083,                0.99442,                 0.9968,                0.99441,                0.98357,                0.16601,                0.09656,                0.77931,               0.002773,               0.002773,               0.002773
                     75,                0.20055,                0.13149,                0.82092,                0.99424,                 0.9968,                0.99386,                0.98415,                0.16551,                0.09622,                0.77939,               0.002674,               0.002674,               0.002674
                     76,                0.19958,                0.13084,                0.81968,                0.99318,                0.99803,                0.99373,                0.98419,                0.16561,                0.09419,                0.77917,               0.002575,               0.002575,               0.002575
                     77,                0.19763,                0.12971,                0.81977,                 0.9944,                0.99589,                0.99395,                0.98428,                0.16535,                0.09539,                0.77896,               0.002476,               0.002476,               0.002476
                     78,                0.19697,                0.12805,                0.81869,                0.99433,                0.99612,                 0.9939,                0.98454,                0.16494,                0.09553,                0.77868,               0.002377,               0.002377,               0.002377
