                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.23116,                0.16717,                0.82266,                0.99374,                0.99694,                0.99455,                 0.9821,                0.18041,                0.11451,                0.72563,               0.005149,               0.005149,               0.005149
                     51,                 0.2301,                0.16466,                 0.8214,                0.99336,                0.99771,                0.99465,                0.98112,                0.17866,                0.11241,                0.71517,                0.00505,                0.00505,                0.00505
                     52,                0.22838,                0.16403,                0.82099,                0.99283,                 0.9979,                0.99433,                0.98198,                0.17837,                0.11316,                0.71875,               0.004951,               0.004951,               0.004951
                     53,                0.22701,                 0.1627,                 0.8225,                0.99497,                0.99697,                0.99451,                0.98176,                0.17671,                0.11175,                0.71809,               0.004852,               0.004852,               0.004852
                     54,                0.22619,                0.16225,                0.82094,                0.99601,                 0.9968,                0.99478,                0.98275,                0.17447,                0.11008,                0.71826,               0.004753,               0.004753,               0.004753
                     55,                0.22695,                0.15896,                0.81847,                0.99462,                0.99707,                0.99444,                0.98108,                0.17542,                0.11081,                0.71918,               0.004654,               0.004654,               0.004654
                     56,                0.22593,                0.15957,                0.82091,                0.99383,                0.99817,                0.99461,                0.98233,                0.17369,                0.10955,                0.72057,               0.004555,               0.004555,               0.004555
                     57,                0.22325,                0.15923,                0.82105,                0.99576,                0.99561,                0.99484,                0.98187,                0.17503,                0.11101,                 0.7212,               0.004456,               0.004456,               0.004456
                     58,                 0.2231,                0.15823,                0.82163,                0.99527,                0.99596,                0.99471,                0.98153,                0.17387,                0.10977,                0.72167,               0.004357,               0.004357,               0.004357
                     59,                0.22222,                0.15667,                0.81959,                0.99353,                0.99726,                0.99483,                0.98238,                0.17328,                0.10853,                0.71677,               0.004258,               0.004258,               0.004258
                     60,                0.22023,                0.15374,                0.81986,                0.99327,                0.99797,                0.99454,                0.98261,                0.17368,                0.10795,                0.72119,               0.004159,               0.004159,               0.004159
                     61,                0.21976,                0.15507,                0.81849,                0.99395,                 0.9968,                0.99433,                0.98225,                0.17436,                0.11101,                0.72763,                0.00406,                0.00406,                0.00406
                     62,                0.21737,                0.15307,                0.81734,                0.99439,                0.99543,                0.99451,                0.98277,                0.17431,                0.11368,                0.72854,               0.003961,               0.003961,               0.003961
                     63,                0.21763,                0.15401,                0.82089,                0.99498,                 0.9967,                0.99455,                 0.9834,                0.17199,                0.10819,                0.72121,               0.003862,               0.003862,               0.003862
                     64,                0.21605,                0.15106,                0.81654,                0.99511,                0.99656,                0.99463,                0.98299,                0.17147,                0.10446,                0.71716,               0.003763,               0.003763,               0.003763
                     65,                0.21702,                0.15006,                 0.8184,                  0.995,                0.99656,                 0.9946,                 0.9831,                0.17078,                0.10523,                0.71831,               0.003664,               0.003664,               0.003664
                     66,                0.21384,                0.14917,                0.81665,                0.99502,                0.99539,                0.99428,                0.98277,                0.17164,                0.10411,                0.71779,               0.003565,               0.003565,               0.003565
                     67,                0.21269,                0.14792,                0.81928,                0.99498,                0.99688,                0.99469,                0.98319,                0.17089,                0.10462,                0.71681,               0.003466,               0.003466,               0.003466
                     68,                0.21546,                0.14945,                0.81874,                0.99515,                0.99589,                0.99471,                0.98282,                0.17207,                 0.1072,                0.72027,               0.003367,               0.003367,               0.003367
                     69,                0.21124,                0.14639,                0.81759,                0.99571,                0.99726,                0.99435,                0.98302,                0.17036,                 0.1065,                0.72425,               0.003268,               0.003268,               0.003268
                     70,                0.20939,                0.14521,                0.81736,                0.99468,                0.99771,                0.99438,                0.98331,                0.16991,                0.10438,                0.72169,               0.003169,               0.003169,               0.003169
                     71,                0.20937,                0.14577,                0.81627,                0.99489,                0.99676,                0.99435,                0.98314,                0.17014,                0.10786,                0.73134,                0.00307,                0.00307,                0.00307
